receipt_code	drug_name
640406035	大塚糖液５％ＴＮ　５０ｍＬ
640407023	５％糖液キットＨ　５０ｍＬ
640407024	５％糖液キットＨ　１００ｍＬ
640408013	２０％ブドウ糖注射液「ニッシン」　２０ｍＬ
640412067	ブドウ糖注射液　５％１００ｍＬ
640412069	ブドウ糖注射液　５０％２００ｍＬ
640412070	ブドウ糖注射液　５０％５００ｍＬ
640412071	ブドウ糖注射液　７０％３５０ｍＬ
640412102	果糖注射液　５％２００ｍＬ
640412103	果糖注射液　５％５００ｍＬ
640412110	テルモ糖注ＴＫ　５％１００ｍＬ
640412111	ブドウ糖注射液　５％２５０ｍＬ
640412112	ブドウ糖注射液　１０％２０ｍＬ
640421002	２０％ブドウ糖注「日医工」　２０ｍＬ
640431047	ブドウ糖注２０％「ＣＭＸ」　２０ｍＬ
640450010	５％ブドウ糖注射液「ニッシン」　２０ｍＬ
640460006	５０％ブドウ糖注射液「ニッシン」　２０ｍＬ
640460011	光糖液５％　５００ｍＬ
643230011	キシリトール注射液　５％３００ｍＬ
643230012	キシリトール注射液　５％５００ｍＬ
643230013	キシリトール注射液　１０％２０ｍＬ
643230026	ハイカリック液－１号　７００ｍＬ
643230027	ハイカリック液－２号　７００ｍＬ
643230032	ブドウ糖注射液　５％２０ｍＬ
643230034	ブドウ糖注射液　５％１００ｍＬ
643230035	ブドウ糖注射液　５％２００ｍＬ
643230036	ブドウ糖注射液　５％２５０ｍＬ
643230038	ブドウ糖注射液　５％５００ｍＬ
643230039	ブドウ糖注射液　５％１Ｌ
643230042	ブドウ糖注射液　２０％２０ｍＬ
643230048	ブドウ糖注射液　５０％２０ｍＬ
643230050	ブドウ糖注射液　５０％３００ｍＬ
643230052	ブドウ糖注射液　５０％５００ｍＬ
643230076	果糖注射液　５％５００ｍＬ
643230077	果糖注射液　５％１Ｌ
643230081	果糖注射液　２０％２０ｍＬ
643230089	大塚糖液１０％　２０ｍＬ
643230090	大塚糖液５％　２０ｍＬ
643230176	ハイカリック液－３号　７００ｍＬ
643230212	大塚糖液５％　１００ｍＬ
643230230	ブドウ糖注射液　５％５００ｍＬ
643230251	大塚糖液５％　５０ｍＬ
643230252	ブドウ糖注射液　５０％１００ｍＬ
643230253	ブドウ糖注射液　１０％５００ｍＬ
643230254	ブドウ糖注射液　５％５０ｍＬ
643230267	光糖液５％　５０ｍＬ
643230270	光糖液５％　１００ｍＬ
643230274	大塚糖液５％　２５０ｍＬ
643230282	小林糖液５％　５００ｍＬ
643230283	光糖液５％　５００ｍＬ
643230287	大塚糖液５％　５００ｍＬ
643230297	大塚糖液１０％　５００ｍＬ
643230298	大塚糖液２０％　２０ｍＬ
643230314	大塚糖液４０％　２０ｍＬ
643230317	大塚糖液５０％　２０ｍＬ
643230346	２０％フルクトン注　２０ｍＬ
643230390	キシリトール注射液２０％「トーワ」　２０ｍＬ
643230406	大塚糖液５％ＴＮ　１００ｍＬ
643230411	大塚糖液５％　２５０ｍＬ
643230412	大塚糖液７０％　３５０ｍＬ
620003682	イオパミロン注１５０　３０．６２％５０ｍＬ
620003683	イオパミロン注１５０　３０．６２％２００ｍＬ
620003684	イオパミロン注３００　６１．２４％２０ｍＬ
620003685	イオパミロン注３００　６１．２４％５０ｍＬ
620003686	イオパミロン注３００　６１．２４％１００ｍＬ
620003687	イオパミロン注３００シリンジ　６１．２４％５０ｍＬ
620003688	イオパミロン注３００シリンジ　６１．２４％８０ｍＬ
620003689	イオパミロン注３００シリンジ　６１．２４％１００ｍＬ
620003690	イオパミロン注３７０　７５．５２％２０ｍＬ
620003691	イオパミロン注３７０　７５．５２％５０ｍＬ
620003692	イオパミロン注３７０　７５．５２％１００ｍＬ
620003693	イオパミロン注３７０シリンジ　７５．５２％５０ｍＬ
620003694	イオパミロン注３７０シリンジ　７５．５２％８０ｍＬ
620003695	イオパミロン注３７０シリンジ　７５．５２％１００ｍＬ
620003697	イソビスト注２４０　５１．２６％１０ｍＬ
620003698	イソビスト注３００　６４．０８％１０ｍＬ
620004304	ウログラフイン注６０％　２０ｍＬ
620004305	ウログラフイン注６０％　１００ｍＬ
620004306	ウログラフイン注７６％　２０ｍＬ
620005214	プロスコープ３００注シリンジ１００ｍＬ　６２．３４％
620005215	プロスコープ３００注２０ｍＬ　６２．３４％
620005216	プロスコープ３００注５０ｍＬ　６２．３４％
620005217	プロスコープ３００注１００ｍＬ　６２．３４％
620005218	プロスコープ３７０注２０ｍＬ　７６．８９％
620005219	プロスコープ３７０注５０ｍＬ　７６．８９％
620005220	プロスコープ３７０注１００ｍＬ　７６．８９％
620005697	プロスコープ３００注シリンジ５０ｍＬ　６２．３４％
620005698	プロスコープ３００注シリンジ８０ｍＬ　６２．３４％
620007447	ビジパーク２７０注２０ｍＬ　５４．９７％
620007448	ビジパーク２７０注５０ｍＬ　５４．９７％
620007449	ビジパーク２７０注１００ｍＬ　５４．９７％
620007450	ビジパーク３２０注５０ｍＬ　６５．１５％
620007451	ビジパーク３２０注１００ｍＬ　６５．１５％
620009142	オムニパーク２４０注シリンジ１００ｍＬ　５１．７７％
620009143	オムニパーク３００注シリンジ５０ｍＬ　６４．７１％
620009144	オムニパーク３００注シリンジ８０ｍＬ　６４．７１％
